"Date","Bookmaker","Tipster","Sport","Category","Competition","Type of bet","Free bet","Live","Type","Label of bet","Odds","Stake","Gain","Winning bonus","Commission","Profit","State","Closing Odds","Comment"
"02/09/2024 14:31","TeamMexicoBets","Frosty ","Basketball","","","","","","Simple","O227 bucks",1.8,1500,-1500,"","",-1500,"Lost","",""
"02/09/2024 13:35","Novibet","Felix","Baseball","","","","","","Simple","La guaira ",1.95,4000,7800,"","",3800,"Won","",""
"02/09/2024 13:10","Caliente","Felix","Baseball","","","","","","Simple","Federales",1.571,4000,6284,"","",2284,"Won","",""
"02/09/2024 11:11","TeamMexicoBets","Yuca","Football","","","","","","Simple","Nueva concepción",3.45,750,-750,"","",-750,"Lost","",""
"02/09/2024 11:10","TeamMexicoBets","Yuca","","","","","","","Combined","Parlay rico",2.372,3750,8893.5,"","",5143.5,"Won","",""
"02/09/2024 11:10","TeamMexicoBets","","Football","","","","","","","Suchis ","","","","","","","Won","",""
"02/09/2024 11:10","TeamMexicoBets","","Football","","","","","","","Juventud","","","","","","","Won","",""
"02/09/2024 11:09","TeamMexicoBets","Yuca","Football","","","","","","Simple","San Peter ",3.33,1931.33,6431.33,"","",4500,"Won","",""
"02/09/2024 11:09","TeamMexicoBets","Yuca","Football","","","","","","Simple","Berberena",1.82,3000,5460,"","",2460,"Won","",""
"02/09/2024 08:59","Novibet","Vidente","Tennis","","","","","","Simple","Parry",2.05,2000,-2000,"","",-2000,"Lost","",""
"02/08/2024 16:42","Novibet","DJ Serch","Football","","","","","","Simple","U3.75",1.82,2250,-1125,"","",-1125,"Half Lost","",""
"02/08/2024 15:30","Caliente","Felix","Baseball","","","","","","Simple","La guaira ",1.825,3750,6843.75,"","",3093.75,"Won","",""
"02/08/2024 15:17","Caliente","Frosty ","Basketball","","NBA - USA","","","","Simple","O229 lakers",1.8,1500,-1500,"","",-1500,"Lost","",""
"02/08/2024 15:16","Caliente","Frosty ","Basketball","","NBA - USA","","","","Simple","O225",1.75,1500,2625,"","",1125,"Won","",""
"02/08/2024 15:15","Novibet","Frosty ","Basketball","","NBA - USA","","","","Simple","Bulls",1.69,1500,2535,"","",1035,"Won","",""
"02/08/2024 15:15","Novibet","Frosty ","Basketball","","NBA - USA","","","","Simple","O223 magic",1.77,1500,2655,"","",1155,"Won","",""
"02/08/2024 15:15","Novibet","Frosty ","Basketball","","","","","","Simple","O223.5 Nets",1.78,1500,-1500,"","",-1500,"Lost","",""
"02/08/2024 11:24","Novibet","Vidente","Tennis","","","","","","Simple","Darjs",1.82,2000,3640,"","",1640,"Won","",""
"02/08/2024 11:24","Novibet","Vidente","Tennis","","","","","","Simple","Stevanovic",2.24,2000,-2000,"","",-2000,"Lost","",""
"02/07/2024 23:05","Caliente","Yuca","Football","","","","","","Simple","Sttutgart",1.77,3750,6637.5,"","",2887.5,"Won","",""
"02/07/2024 20:09","Novibet","Vidente","Tennis","","","","","","Simple","Kolar",2.35,2000,4700,"","",2700,"Won","",""
"02/07/2024 19:08","Novibet","DJ Serch","Football","","","","","","Simple","Limeno",1.79,3000,5370,"","",2370,"Won","",""
"02/07/2024 17:25","Novibet","Vidente","Tennis","","","","","","Simple","Bogdan",1.95,2000,3900,"","",1900,"Won","",""
"02/07/2024 16:35","Novibet","DJ Serch","Football","","","","","","Simple","Herediano",1.79,2250,-2250,"","",-2250,"Lost","",""
"02/07/2024 15:37","Novibet","DJ Serch","Football","","","","","","Simple","Firpo",2.1,1500,-1500,"","",-1500,"Lost","",""
"02/07/2024 15:09","Novibet","DJ Serch","Football","","","","","","Simple","Suchi",1.72,1500,2040,"","",540,"Half Won","",""
"02/07/2024 13:10","Caliente","Felix","Baseball","","","","","","Simple","Licey ",1.7,3395,-3395,"","",-3395,"Lost","",""
"02/07/2024 12:54","Caliente","Yuca","Football","","","","","","Simple","San pedro",1.65,2500,4125,"","",1625,"Won","",""
"02/07/2024 11:56","Novibet","Frosty ","Basketball","","","","","","Simple","Jaylen Brown",1.74,1500,-1500,"","",-1500,"Lost","",""
"02/07/2024 11:41","Novibet","Frosty ","Basketball","","","","","","Simple","O22.5 garland ",1.73,1500,-1500,"","",-1500,"Lost","",""
"02/07/2024 10:18","Novibet","DJ Serch","Football","","","","","","Simple","Solola ",1.95,2250,4387.5,"","",2137.5,"Won","",""
"02/07/2024 10:11","Novibet","DJ Serch","Football","","","","","","Simple","Toluca +1.5",1.75,1500,-1500,"","",-1500,"Lost","",""
"02/07/2024 10:10","Novibet","DJ Serch","Football","","","","","","Simple","Porto",1.56,2500,-2500,"","",-2500,"Lost","",""
"02/06/2024 23:18","Novibet","Vidente","Tennis","","","","","","Simple","Osorio",2.05,2000,-2000,"","",-2000,"Lost","",""
"02/06/2024 20:37","Novibet","DJ Serch","Football","","","","","","Simple","Esteli",1.83,1500,-1500,"","",-1500,"Lost","",""
"02/06/2024 18:07","Novibet","DJ Serch","Football","","","","","","Simple","Yautepec",1.76,2250,3960,"","",1710,"Won","",""
"02/06/2024 18:06","Novibet","DJ Serch","Football","","","","","","Simple","U2.5 playa",1.7,2250,3825,"","",1575,"Won","",""
"02/06/2024 17:16","Novibet","Vidente","Tennis","","","","","","Simple","Herazo",3,1000,-1000,"","",-1000,"Lost","",""
"02/06/2024 17:15","Novibet","Yuca","Football","","","","","","Simple","Constantine",1.76,2200,3872,"","",1672,"Won","",""
"02/06/2024 15:36","Novibet","Vidente","Tennis","","","","","","Simple","Trsitan",1.94,2000,3880,"","",1880,"Won","",""
"02/06/2024 13:56","Bet365","Felix","Baseball","","","","","","Simple","O7.5 ",1.75,3500,6125,"","",2625,"Won","",""
"02/06/2024 13:39","Novibet","DJ Serch","Football","","","","","","Simple","Soton ",2.25,1500,-1500,"","",-1500,"Lost","",""
"02/06/2024 10:31","Caliente","Yuca","Football","","","","","","Simple","Chivas",1.65,2500,4125,"","",1625,"Won","",""
"02/06/2024 10:27","Caliente","Yuca","Football","","","","","","Simple","Leon ",1.666,3750,-3750,"","",-3750,"Lost","",""
"02/05/2024 21:38","Caliente","Yuca","Football","","","","","","Simple","Tigres",1.95,2500,4875,"","",2375,"Won","",""
"02/05/2024 21:34","Novibet","Vidente","Tennis","","","","","","Simple","Bondar",2.45,2000,-2000,"","",-2000,"Lost","",""
"02/05/2024 16:22","Novibet","Felix","Baseball","","","","","","Simple","Caguas",1.87,3500,-3500,"","",-3500,"Lost","",""
"02/05/2024 15:57","Caliente","Ruy","Football","","","","","","Simple","Gavilanes",1.666,2000,3332,"","",1332,"Won","",""
"02/05/2024 14:51","Novibet","Yuca","Football","","","","","","Simple","City -1",1.97,2500,4925,"","",2425,"Won","",""
"02/05/2024 14:24","Novibet","Felix","Baseball","","","","","","Simple","México +1.5",1.95,4000,-4000,"","",-4000,"Lost","",""
"02/05/2024 11:49","Caliente","Yuca","Football","","","","","","Simple","O9.5 corners leon ",1.727,2300,-2300,"","",-2300,"Lost","",""
"02/05/2024 10:56","Novibet","Ramiro","Baseball","","","","","","Simple","Rivas +1.5",1.49,7611,-7611,"","",-7611,"Lost","",""
"02/04/2024 20:05","Novibet","Vidente","Tennis","","","","","","Simple","Pierre",1.65,2000,-2000,"","",-2000,"Lost","",""
"02/04/2024 17:02","Novibet","DJ Serch","Football","","","","","","Simple","Real sociedad ",1.77,3000,5310,"","",2310,"Won","",""
"02/04/2024 15:28","Novibet","DJ Serch","Football","","","","","","Simple","San pedro",1.83,2250,4117.5,"","",1867.5,"Won","",""
"02/04/2024 15:16","Caliente","DJ Serch","Football","","","","","","Simple","Cucuta",1.9,1500,2850,"","",1350,"Won","",""
"02/04/2024 15:03","Caliente","DJ Serch","Football","","","","","","Simple","San Miguel ",2.25,3000,-3000,"","",-3000,"Lost","",""
"02/04/2024 13:54","Caliente","Felix","Baseball","","","","","","Simple","La guaira ",1.727,3000,-3000,"","",-3000,"Lost","",""
"02/04/2024 13:51","TeamMexicoBets","Yuca","Baseball","","","","","","Simple","Achuapa",1.5,2233,-2233,"","",-2233,"Lost","",""
"02/04/2024 12:13","Novibet","Vidente","Tennis","","","","","","Simple","Pera",2.15,2000,-2000,"","",-2000,"Lost","",""
"02/04/2024 12:01","TeamMexicoBets","Yuca","Football","","","","","","Simple","La esperanza",1.95,1500,-750,"","",-750,"Half Lost","",""
"02/04/2024 11:54","Novibet","DJ Serch","Football","","","","","","Simple","Nueva concepción ",1.74,2500,4350,"","",1850,"Won","",""
"02/04/2024 11:48","Novibet","Ruy","Football","","","","","","Simple","O8.5 corners",1.72,2000,3440,"","",1440,"Won","",""
